"subjid","rownum","submission_date","expectedness","expectedness_qemo","expectedness_qlabel","pleasantness","pleasantness_qemo","pleasantness_qlabel","goal_consistency","goal_consistency_qemo","goal_consistency_qlabel","fairness","fairness_qemo","fairness_qlabel","agent_cause","agent_cause_qemo","agent_cause_qlabel","agent_intention","agent_intention_qemo","agent_intention_qlabel","self_cause","self_cause_qemo","self_cause_qlabel","close_others","close_others_qemo","close_others_qlabel","control","control_qemo","control_qlabel","altering","altering_qemo","altering_qlabel","moral","moral_qemo","moral_qlabel","selfesteem","selfesteem_qemo","selfesteem_qlabel","suddenness","suddenness_qemo","suddenness_qlabel","familiarity","familiarity_qemo","familiarity_qlabel","future","future_qemo","future_qlabel","past","past_qemo","past_qlabel","occurred","occurred_qemo","occurred_qlabel","certainty","certainty_qemo","certainty_qlabel","repetition","repetition_qemo","repetition_qlabel","coping","coping_qemo","coping_qlabel","mental_states","mental_states_qemo","mental_states_qlabel","others_knowledge","others_knowledge_qemo","others_knowledge_qlabel","bodily_disease","bodily_disease_qemo","bodily_disease_qlabel","people","people_qemo","people_qlabel","relevance","relevance_qemo","relevance_qlabel","freedom","freedom_qemo","freedom_qlabel","pressure","pressure_qemo","pressure_qlabel","consequences","consequences_qemo","consequences_qlabel","danger","danger_qemo","danger_qlabel","self_involvement","self_involvement_qemo","self_involvement_qlabel","main_character","main_character_qemo","main_character_qlabel","remember","remember_qemo","remember_qlabel","self_consistency","self_consistency_qemo","self_consistency_qlabel","relationship_influence","relationship_influence_qemo","relationship_influence_qlabel","agent_situation","agent_situation_qemo","agent_situation_qlabel","attention","attention_qemo","attention_qlabel","psychological_change","psychological_change_qemo","psychological_change_qlabel","safey","safey_qemo","safey_qlabel","knowledge_change","knowledge_change_qemo","knowledge_change_qlabel","emotion","emotion_qemo","emotion_qlabel","Guilty_extent","Content_extent","Lonely_extent","Excited_extent","Hopeful_extent","Devastated_extent","Proud_extent","Apprehensive_extent","Disgusted_extent","Embarrassed_extent","Jealous_extent","Joyful_extent","Impressed_extent","Grateful_extent","Terrified_extent","Furious_extent","Nostalgic_extent","Disappointed_extent","Annoyed_extent","Surprised_extent","Neutral_extent","city","country","age","gender","thoughts","response_noface","response_intune","response_nothought","response_needverbal","response_facevoice","response_surprised"
"DSA_nb01_q001","88","2014-04-09","0","Jealous","q14","0","Jealous","q14","0","Jealous","q14","5","Jealous","q14","10","Jealous","q14","7","Jealous","q14","1","Jealous","q14","10","Jealous","q14","0","Jealous","q14","0","Jealous","q14","10","Jealous","q14","5","Jealous","q14","0","Jealous","q14","4","Jealous","q14","0","Jealous","q14","0","Jealous","q14","10","Jealous","q14","10","Jealous","q14","0","Jealous","q14","4","Jealous","q14","1","Jealous","q14","9","Jealous","q14","10","Jealous","q14","7","Jealous","q14","6","Jealous","q14","0","Guilty","q14","0","Jealous","q14","9","Jealous","q14","10","Jealous","q14","7","Jealous","q14","10","Jealous","q14","6","Jealous","q14","5","Jealous","q14","7","Jealous","q14","5","Jealous","q14","6","Jealous","q14","6","Jealous","q14","0","Jealous","q14","7","Jealous","q14","Jealous","NULL","NULL","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","1","0","8","6","0","NULL","NULL","NULL","31","Male"," Difficult to decipher the intent of some of the questions, also painfully dull, but I don't suppose there's anything you can do about that!","5","NULL","6","6","4","6"
"DSA_nb01_q001","87","NULL","9","Guilty","q11","10","Guilty","q11","10","Guilty","q11","0","Guilty","q11","10","Guilty","q11","10","Guilty","q11","10","Guilty","q11","0","Guilty","q11","9","Guilty","q11","0","Guilty","q11","0","Guilty","q11","5","Guilty","q11","0","Guilty","q11","1","Guilty","q11","10","Guilty","q11","2","Guilty","q11","10","Guilty","q11","0","Guilty","q11","0","Guilty","q11","10","Guilty","q11","0","Guilty","q11","0","Guilty","q11","0","Guilty","q11","0","Guilty","q11","10","Guilty","q11","10","Guilty","q11","9","Guilty","q11","10","Guilty","q11","10","Disgusted","q11","10","Guilty","q11","10","Guilty","q11","6","Guilty","q11","1","Guilty","q11","1","Guilty","q11","0","Guilty","q11","10","Guilty","q11","1","Guilty","q11","8","Guilty","q11","10","Guilty","q11","Guilty","NULL","NULL","6","1","0","0","0","0","0","0","0","0","0","7","0","7","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"DSA_nb01_q001","86","NULL","0","Disgusted","q6","0","Disgusted","q6","0","Disgusted","q6","0","Disgusted","q6","10","Disgusted","q6","1","Disgusted","q6","0","Proud","q6","1","Disgusted","q6","0","Disgusted","q6","1","Disgusted","q6","1","Disgusted","q6","5","Disgusted","q6","9","Disgusted","q6","0","Disgusted","q6","0","Disgusted","q6","0","Disgusted","q6","10","Disgusted","q6","3","Disgusted","q6","7","Disgusted","q6","7","Disgusted","q6","0","Disgusted","q6","0","Disgusted","q6","10","Disgusted","q6","1","Disgusted","q6","0","Disgusted","q6","10","Disgusted","q6","0","Disgusted","q6","0","Disgusted","q6","1","Disgusted","q6","10","Disgusted","q6","10","Disgusted","q6","6","Disgusted","q6","5","Disgusted","q6","0","Disgusted","q6","10","Disgusted","q6","9","Disgusted","q6","8","Disgusted","q6","1","Disgusted","q6","10","Disgusted","q6","Disgusted","NULL","NULL","0","0","0","0","0","0","0","7","10","0","0","0","0","0","0","6","0","9","9","9","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"DSA_nb01_q001","85","NULL","6","Proud","q18","10","Proud","q18","10","Proud","q18","10","Proud","q18","10","Proud","q18","10","Proud","q18","10","Proud","q18","0","Proud","q18","9","Proud","q18","1","Proud","q18","10","Proud","q18","9","Proud","q18","0","Proud","q18","9","Proud","q18","0","Proud","q18","1","Proud","q18","10","Proud","q18","1","Proud","q18","5","Proud","q18","10","Proud","q18","0","Proud","q18","7","Proud","q18","0","Proud","q18","3","Proud","q18","7","Proud","q18","10","Proud","q18","8","Proud","q18","9","Proud","q18","10","Proud","q18","10","Proud","q18","10","Proud","q18","3","Proud","q18","10","Proud","q18","0","Proud","q18","0","Content","q18","7","Proud","q18","3","Proud","q18","0","Proud","q18","9","Proud","q18","Proud","NULL","NULL","0","5","0","9","8","0","10","0","0","0","0","8","8","10","0","0","0","0","0","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"DSA_nb01_q001","84","NULL","6","Content","q3","10","Content","q3","10","Content","q3","10","Content","q3","10","Content","q3","10","Content","q3","10","Content","q3","0","Content","q3","10","Content","q3","10","Content","q3","10","Content","q3","5","Content","q3","0","Content","q3","10","Content","q3","0","Content","q3","0","Content","q3","10","Content","q3","10","Content","q3","10","Content","q3","10","Content","q3","0","Content","q3","0","Content","q3","9","Content","q3","0","Content","q3","1","Content","q3","10","Content","q3","0","Content","q3","1","Content","q3","10","Content","q3","10","Content","q3","10","Content","q3","0","Content","q3","5","Content","q3","0","Content","q3","5","Content","q3","9","Content","q3","9","Hopeful","q3","0","Content","q3","5","Content","q3","Content","NULL","NULL","0","10","0","0","0","0","0","0","0","0","0","8","0","9","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"DSA_nb01_q001","83","NULL","5","Hopeful","q12","7","Hopeful","q12","8","Hopeful","q12","5","Hopeful","q12","5","Hopeful","q12","3","Hopeful","q12","0","Hopeful","q12","10","Hopeful","q12","0","Hopeful","q12","0","Hopeful","q12","10","Hopeful","q12","5","Hopeful","q12","1","Hopeful","q12","0","Hopeful","q12","10","Hopeful","q12","8","Hopeful","q12","0","Hopeful","q12","0","Hopeful","q12","0","Hopeful","q12","5","Hopeful","q12","0","Hopeful","q12","7","Hopeful","q12","10","Hopeful","q12","10","Nostalgic","q12","10","Hopeful","q12","10","Hopeful","q12","0","Hopeful","q12","10","Hopeful","q12","10","Hopeful","q12","8","Hopeful","q12","10","Hopeful","q12","7","Hopeful","q12","5","Hopeful","q12","6","Hopeful","q12","5","Hopeful","q12","10","Hopeful","q12","9","Hopeful","q12","6","Hopeful","q12","7","Hopeful","q12","Hopeful","NULL","NULL","0","0","0","6","9","0","0","6","0","0","0","7","8","9","6","0","6","0","0","6","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"DSA_nb01_q001","82","NULL","10","Nostalgic","q17","10","Nostalgic","q17","10","Nostalgic","q17","10","Nostalgic","q17","10","Nostalgic","q17","10","Nostalgic","q17","10","Nostalgic","q17","10","Nostalgic","q17","10","Nostalgic","q17","5","Nostalgic","q17","10","Nostalgic","q17","5","Nostalgic","q17","0","Nostalgic","q17","7","Nostalgic","q17","0","Nostalgic","q17","10","Nostalgic","q17","10","Nostalgic","q17","10","Nostalgic","q17","0","Nostalgic","q17","10","Nostalgic","q17","0","Nostalgic","q17","0","Nostalgic","q17","0","Nostalgic","q17","0","Nostalgic","q17","0","Nostalgic","q17","10","Nostalgic","q17","0","Nostalgic","q17","0","Excited","q17","10","Nostalgic","q17","10","Nostalgic","q17","10","Nostalgic","q17","6","Nostalgic","q17","5","Nostalgic","q17","0","Nostalgic","q17","5","Nostalgic","q17","7","Nostalgic","q17","7","Nostalgic","q17","0","Nostalgic","q17","6","Nostalgic","q17","Nostalgic","NULL","NULL","0","7","0","7","0","0","7","1","0","1","0","6","0","6","0","0","10","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"DSA_nb01_q001","81","NULL","10","Excited","q8","10","Excited","q8","9","Excited","q8","10","Excited","q8","0","Excited","q8","0","Excited","q8","0","Excited","q8","4","Excited","q8","9","Lonely","q8","0","Excited","q8","10","Excited","q8","5","Excited","q8","0","Excited","q8","0","Excited","q8","10","Excited","q8","0","Excited","q8","0","Excited","q8","10","Excited","q8","0","Excited","q8","10","Excited","q8","0","Excited","q8","0","Excited","q8","10","Excited","q8","1","Excited","q8","6","Excited","q8","10","Excited","q8","0","Excited","q8","10","Excited","q8","3","Excited","q8","10","Excited","q8","10","Excited","q8","6","Excited","q8","5","Excited","q8","0","Excited","q8","5","Excited","q8","7","Excited","q8","9","Excited","q8","7","Excited","q8","0","Excited","q8","Excited","NULL","NULL","0","7","0","10","0","0","0","0","0","0","0","10","0","9","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"DSA_nb01_q001","80","NULL","10","Lonely","q16","0","Lonely","q16","0","Lonely","q16","10","Lonely","q16","10","Lonely","q16","0","Lonely","q16","1","Lonely","q16","10","Embarrassed","q16","4","Lonely","q16","1","Lonely","q16","10","Lonely","q16","4","Lonely","q16","0","Lonely","q16","0","Lonely","q16","6","Lonely","q16","10","Lonely","q16","10","Lonely","q16","0","Lonely","q16","10","Lonely","q16","5","Lonely","q16","5","Lonely","q16","7","Lonely","q16","0","Lonely","q16","0","Lonely","q16","8","Lonely","q16","10","Lonely","q16","0","Lonely","q16","10","Lonely","q16","10","Lonely","q16","10","Lonely","q16","10","Lonely","q16","9","Lonely","q16","5","Lonely","q16","9","Lonely","q16","5","Lonely","q16","7","Lonely","q16","9","Lonely","q16","1","Lonely","q16","2","Lonely","q16","Lonely","NULL","NULL","0","3","10","0","8","0","5","0","0","0","3","0","0","0","3","0","10","8","2","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"DSA_nb01_q001","79","NULL","0","Embarrassed","q7","0","Embarrassed","q7","0","Embarrassed","q7","2","Embarrassed","q7","10","Embarrassed","q7","0","Embarrassed","q7","1","Embarrassed","q7","2","Embarrassed","q7","1","Embarrassed","q7","3","Embarrassed","q7","5","Embarrassed","q7","1","Grateful","q7","10","Embarrassed","q7","1","Embarrassed","q7","2","Embarrassed","q7","8","Embarrassed","q7","9","Embarrassed","q7","3","Embarrassed","q7","7","Embarrassed","q7","4","Embarrassed","q7","1","Embarrassed","q7","2","Embarrassed","q7","10","Embarrassed","q7","6","Embarrassed","q7","4","Embarrassed","q7","10","Embarrassed","q7","1","Embarrassed","q7","8","Embarrassed","q7","10","Embarrassed","q7","10","Embarrassed","q7","10","Embarrassed","q7","9","Embarrassed","q7","5","Embarrassed","q7","6","Embarrassed","q7","5","Embarrassed","q7","6","Embarrassed","q7","8","Embarrassed","q7","0","Embarrassed","q7","2","Embarrassed","q7","Embarrassed","NULL","NULL","0","0","3","0","0","9","0","10","0","10","9","0","0","0","4","3","0","7","8","8","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
